x1,x2,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,y
20000.0,1,24,2.0,2.0,2.0,0.0,0.0,0.0,7919.0,8637.0,9339.0,10029.0,10615.0,11285.0,1000.0,1000.0,1000.0,900.0,1000.0,500.0,1
50000.0,0,49,0.0,0.0,0.0,2.0,0.0,0.0,26116.0,27192.0,29535.0,28761.0,29298.0,30111.0,1500.0,2803.0,0.0,1000.0,1300.0,1200.0,1
30000.0,0,24,-1.0,2.0,0.0,0.0,3.0,2.0,18199.0,17618.0,18631.0,21319.0,20692.0,21201.0,0.0,1312.0,3000.0,0.0,1000.0,1000.0,1
120000.0,1,25,0.0,0.0,0.0,0.0,0.0,0.0,106621.0,105893.0,107838.0,103273.0,101353.0,87934.0,4000.0,5013.0,4000.0,3199.0,3130.0,4000.0,1
100000.0,1,41,0.0,0.0,0.0,0.0,0.0,0.0,111925.0,107224.0,107126.0,101859.0,79519.0,74368.0,4000.0,7000.0,3533.0,2673.0,3500.0,4303.0,0
240000.0,1,26,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10000.0,1,24,0.0,0.0,0.0,0.0,0.0,2.0,5707.0,6728.0,7865.0,7105.0,8298.0,8020.0,1123.0,1260.0,1500.0,1470.0,0.0,1500.0,0
480000.0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,69011.0,69842.0,71857.0,66673.0,65200.0,65511.0,3000.0,3000.0,2096.0,2115.0,2089.0,2207.0,0
180000.0,1,30,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
180000.0,1,48,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,4498.0,-2.0,760.0,0.0,0.0,245.0,0.0,762.0,0.0,0.0,245.0,884.0,0
60000.0,1,28,2.0,2.0,2.0,2.0,2.0,2.0,43662.0,42682.0,45603.0,44569.0,47452.0,46536.0,0.0,3628.0,0.0,3600.0,0.0,4000.0,1
80000.0,0,45,2.0,0.0,0.0,0.0,0.0,0.0,75222.0,131966.0,68466.0,68547.0,59339.0,32500.0,2379.0,6036.0,1763.0,1187.0,650.0,0.0,1
