median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,medianhousevalue
3.0954,19,3753.0,761.0,1952.0,738.0,40.55,-122.41,11.367911253546788
2.596,23,4870.0,965.0,2717.0,928.0,35.32,-119.01,11.156264806643742
2.0,17,877.0,219.0,966.0,218.0,36.42,-119.09,10.86858749601736
1.9531,30,504.0,140.0,529.0,123.0,33.99,-118.27,11.51293546492023
2.3103,47,1685.0,405.0,835.0,372.0,38.04,-122.27,11.80932691294063
3.3043,35,2259.0,505.0,1561.0,509.0,34.14,-117.9,11.954407441448916
3.81,29,1937.0,448.0,1352.0,433.0,34.1,-118.1,12.365641477767022
3.0912,21,7195.0,1416.0,3927.0,1377.0,38.26,-122.05,11.746423225963612
3.4032,31,2779.0,639.0,2259.0,670.0,34.09,-117.97,11.87340018062404
3.7831,38,1701.0,317.0,872.0,304.0,32.83,-116.94,11.903622053373214
1.7708,36,1026.0,294.0,1316.0,268.0,33.97,-118.25,11.538602958260002
2.774,22,3902.0,845.0,1870.0,763.0,38.61,-121.32,12.15583668670316
2.1842,40,1051.0,244.0,745.0,243.0,34.09,-117.3,11.227919807721856
6.6719,26,2095.0,280.0,793.0,261.0,33.84,-117.85,12.512457475937662
3.2375,36,1391.0,283.0,1025.0,275.0,34.01,-118.07,12.082780085278282
3.5294,12,1736.0,352.0,330.0,123.0,37.8,-119.07,11.9873007744816
1.756,33,1253.0,238.0,753.0,236.0,38.15,-122.23,11.366754528799245
2.6518,40,1809.0,474.0,826.0,456.0,32.76,-117.15,12.099605962739451
2.7083,46,1214.0,281.0,701.0,294.0,34.09,-117.65,11.663936936922068
3.3047,24,2696.0,649.0,1908.0,626.0,33.74,-117.81,12.287196307223883
2.1023,12,3539.0,869.0,1987.0,859.0,33.94,-117.45,11.549267037372664
2.3229,16,3498.0,702.0,2372.0,672.0,33.85,-117.28,11.678448377988165
2.5362,29,2304.0,618.0,1021.0,552.0,37.69,-122.07,12.224899306530068
2.5197,34,1950.0,407.0,1029.0,376.0,40.14,-122.12,11.31813853725963
2.2222,10,416.0,110.0,436.0,70.0,34.62,-119.06,12.47801017053037
1.449,30,1764.0,397.0,1406.0,362.0,33.94,-118.27,11.441440204346032
4.0536,46,2085.0,346.0,748.0,354.0,37.91,-122.29,12.476103599529845
3.1923,40,2344.0,571.0,1305.0,544.0,33.88,-118.12,12.164734893029634
6.9772,17,4413.0,672.0,1674.0,608.0,37.12,-122.0,12.85657586028776
2.1389,35,796.0,281.0,567.0,257.0,34.44,-119.83,12.468440756144114
6.4335,7,13703.0,2352.0,4446.0,1856.0,32.83,-117.08,12.47074578096406
8.5282,25,3430.0,485.0,1284.0,438.0,34.15,-117.66,12.794139826639498
1.78,41,1653.0,426.0,1868.0,393.0,34.03,-118.3,11.998439434579147
3.7083,43,1426.0,272.0,871.0,276.0,33.83,-118.22,12.073689165230697
8.5425,35,3574.0,485.0,1325.0,476.0,37.24,-121.98,13.122367377396328
